# BEAST v10.5.0
# Generated Tue Aug 18 08:35:03 EEST 2026 [seed=1787031224452]
# -window -working -options
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
31000	-5782895.9221411	-321.4522062820603	-5782574.469934818	29.522194691405208	1995.1526686965728	529.9546527429869	75.94730633878557	25.33053147937578	0.159447060069192	0.34987238258281494	0.3349485665786201	0.15573199076937297	0.020228807436923745	4.777171515096264E-6	4.777171515096263E-6	-5782574.469934818	0.0	-315.2999505689319
32000	-5782887.802610646	-321.4018333734963	-5782566.400777273	29.362327259945225	1995.312536128033	533.7628848562829	89.6414305302441	25.33053147937578	0.159447060069192	0.34987238258281494	0.3349485665786201	0.15573199076937297	0.031121268644816468	4.876072412708047E-6	4.876072412708043E-6	-5782566.400777273	0.0	-315.041749983268
33000	-5782882.833681599	-322.11066780463625	-5782560.723013795	29.6911590709154	1994.9837043170628	537.1577786135686	97.39616031839446	25.33053147937578	0.159447060069192	0.34987238258281494	0.3349485665786201	0.15573199076937297	0.02834741294110941	4.795688728850773E-6	4.795688728850775E-6	-5782560.723013795	0.0	-315.6769992551688
34000	-5782892.745365291	-321.31514969715033	-5782571.430215593	29.070737735432004	1995.6041256525461	530.8002943957034	99.62896593048256	23.44271325651784	0.159447060069192	0.34987238258281494	0.3349485665786201	0.15573199076937297	0.04531172276995948	4.832498381203507E-6	4.832498381203509E-6	-5782571.430215593	0.0	-314.999079565796
35000	-5782882.035168828	-321.85783362310497	-5782560.1773352055	29.11446496328623	1995.5603984246918	533.4374311464295	80.17116712800573	22.41924790232795	0.159447060069192	0.34987238258281494	0.3349485665786201	0.15573199076937297	0.04016491331371045	4.8230864830081966E-6	4.823086483008197E-6	-5782560.1773352055	0.0	-315.8975884894464
36000	-5782882.817905227	-321.2330697236827	-5782561.584835503	29.412313493114507	1995.2625498948637	531.647573092756	98.26385925059719	23.575055686594645	0.159447060069192	0.34987238258281494	0.33502535038366804	0.15565520696432503	0.03178189757380053	4.819203149498215E-6	4.819203149498215E-6	-5782561.584835503	0.0	-314.94798293787477
37000	-5782886.288307477	-322.07911182925176	-5782564.209195647	29.313116081940958	1995.3617473060372	536.3595634923907	85.07648205884061	24.785260353829422	0.159447060069192	0.34987238258281494	0.33502535038366804	0.15565520696432503	0.03883405498144951	4.792284869355498E-6	4.792284869355494E-6	-5782564.209195647	0.0	-315.8242032151885
38000	-5782896.820842635	-321.2152315807464	-5782575.605611054	28.941576607238627	1995.7332867807395	529.7496209625351	83.56780168751334	24.860395814100208	0.159447060069192	0.34987238258281494	0.33502535038366804	0.15565520696432503	0.04452220272984084	4.827914455311354E-6	4.827914455311352E-6	-5782575.605611054	0.0	-314.9511273294268
39000	-5782893.157574333	-320.5770285291096	-5782572.580545804	28.72372349187565	1995.9511398961024	523.5495731092715	76.84281273854599	24.149740268980498	0.159447060069192	0.34987238258281494	0.33502535038366804	0.15565520696432503	0.05225960322604489	4.972902145883284E-6	4.9729021458832876E-6	-5782572.580545804	0.0	-314.4370750575454
40000	-5782896.2098983945	-320.7774000752243	-5782575.432498319	29.414373049599458	1995.2604903383788	529.3665547070809	89.70193151409438	24.036139560178203	0.159447060069192	0.34987238258281494	0.33502535038366804	0.15565520696432503	0.020908005106822898	4.928887242916387E-6	4.928887242916387E-6	-5782575.432498319	0.0	-314.5539787148746
41000	-5782910.491901803	-320.72561150641246	-5782589.766290297	29.57049308937951	1995.1043702985985	531.5682809980167	94.56204035967203	24.980373463804526	0.159447060069192	0.34987238258281494	0.33502535038366804	0.15565520696432503	0.008475705833176665	4.810891345080629E-6	4.81089134508063E-6	-5782589.766290297	0.0	-314.39097022277633
42000	-5782898.527370641	-324.51078518336163	-5782574.016585458	30.020446700621793	1994.6544166873564	553.4394556557749	95.69182700290035	23.83806916888502	0.159447060069192	0.34987238258281494	0.33502535038366804	0.15565520696432503	0.01241876787103201	4.581553419140747E-6	4.58155341914075E-6	-5782574.016585458	0.0	-318.3124184497686
43000	-5782897.040644799	-323.1464054335104	-5782573.894239366	29.4773385987687	1995.1975247892094	538.9179031333684	80.0175222876008	25.64671738211079	0.159447060069192	0.34987238258281494	0.33502535038366804	0.15565520696432503	0.01761225721770861	4.7316444718945725E-6	4.731644471894576E-6	-5782573.894239366	0.0	-316.926139504152
44000	-5782887.39448418	-323.0401613143176	-5782564.354322866	29.881940976738644	1994.7929224112395	543.2987947883727	82.79472351477122	24.68000456210181	0.159447060069192	0.34987238258281494	0.33502535038366804	0.15565520696432503	0.02354376291435306	4.706758118853481E-6	4.706758118853483E-6	-5782564.354322866	0.0	-316.8709886481855
45000	-5782882.576072327	-323.0515376500607	-5782559.524534677	29.791821737058903	1994.8830416509193	544.7175925965176	97.61306284391671	24.68000456210181	0.159447060069192	0.34987238258281494	0.33502535038366804	0.15565520696432503	0.03176083384197738	4.7852154313418245E-6	4.7852154313418245E-6	-5782559.524534677	0.0	-316.67961893025887
46000	-5782885.733326777	-324.8911304464635	-5782560.84219633	29.83677500656841	1994.8380883814098	544.4153958320309	70.89487061048652	24.39268252636221	0.159447060069192	0.34987238258281494	0.33502535038366804	0.15565520696432503	0.015562680256388402	4.675056419237651E-6	4.675056419237651E-6	-5782560.84219633	0.0	-318.93744769547914
47000	-5782884.3451066315	-323.45664304935576	-5782560.888463582	29.7695750376263	1994.9052883503518	542.218843822787	113.60778706373806	24.39268252636221	0.159447060069192	0.34987238258281494	0.33502535038366804	0.15565520696432503	0.021271382548356598	4.712560941854926E-6	4.712560941854921E-6	-5782560.888463582	0.0	-316.97172093991355
48000	-5782877.418057983	-323.70493001003257	-5782553.713127973	29.828290482632184	1994.846572905346	549.8432199815089	97.7784424142581	23.83256248213189	0.159447060069192	0.34987238258281494	0.33502535038366804	0.15565520696432503	0.021660189514334228	4.6494578142003E-6	4.6494578142003E-6	-5782553.713127973	0.0	-317.45435951354966
49000	-5782879.817235006	-323.6835799609132	-5782556.133655045	30.22860321129112	1994.446260176687	548.9049282201061	97.54002893571405	26.064167598481916	0.159447060069192	0.34987238258281494	0.33502535038366804	0.15565520696432503	0.026990030891972758	4.667640052526177E-6	4.667640052526181E-6	-5782556.133655045	0.0	-317.2057735715175
50000	-5782880.145766796	-322.6893023665894	-5782557.456464429	30.011804791085243	1994.6630585968928	544.337880589794	91.40896706130235	26.064167598481916	0.159447060069192	0.34987238258281494	0.33513620225201096	0.1555443550959821	0.041365624536672224	4.6755553248612494E-6	4.67555532486125E-6	-5782557.456464429	0.0	-316.24872248882826
51000	-5782876.878620939	-323.4730202930998	-5782553.4056006465	29.998000620442188	1994.676862767536	549.6046957950155	88.8221279090094	23.46727766857834	0.159447060069192	0.35045845296432604	0.33455013187049987	0.1555443550959821	0.027725573061889552	4.667600634113224E-6	4.667600634113224E-6	-5782553.4056006465	0.0	-317.3499055184425
52000	-5782881.520947152	-324.3229243801345	-5782557.198022772	30.32446629082327	1994.3503970971549	554.7351698814699	90.64666358773005	23.70972070644508	0.159447060069192	0.35045845296432604	0.33455013187049987	0.1555443550959821	0.05215912850249594	4.710139781338097E-6	4.7101397813381E-6	-5782557.198022772	0.0	-318.10437550578274
53000	-5782880.678578731	-324.86763092465947	-5782555.810947806	30.00605740996332	1994.668805978015	541.8201985487119	127.27940769669554	24.137267256157156	0.159447060069192	0.3501494675664565	0.33510242170143356	0.15530105066291794	0.04671513481365444	4.721017469686643E-6	4.721017469686644E-6	-5782555.810947806	0.0	-318.2286368575378
54000	-5782881.841230795	-323.70278363496055	-5782558.13844716	30.04224219779139	1994.6326211901867	547.3999367977955	106.22255514428073	23.993467834374005	0.159447060069192	0.3501494675664565	0.33510242170143356	0.15530105066291794	0.04733342526389102	4.727842227866216E-6	4.727842227866216E-6	-5782558.13844716	0.0	-317.2829628113579
55000	-5782882.067122621	-323.31062722792126	-5782558.756495394	30.284563373105392	1994.3903000148728	547.5140179413228	93.36176924067537	24.845803509916976	0.15933665938893948	0.3501494675664565	0.33510242170143356	0.15541145134317044	0.05689959081780878	4.727842227866216E-6	4.727842227866219E-6	-5782558.756495394	0.0	-316.92961378853875
56000	-5782889.27107909	-323.91982723254995	-5782565.351251858	30.336578199088457	1994.3382851888896	550.7672412844294	97.51868084160549	23.629734446031424	0.15933665938893948	0.3501494675664565	0.33510242170143356	0.15541145134317044	0.041140532403466816	4.659945159874403E-6	4.659945159874399E-6	-5782565.351251858	0.0	-317.6533156398096
57000	-5782884.350757317	-323.5603757706247	-5782560.790381546	30.127914257614645	1994.5469491303634	549.8334132203973	89.65598434671305	25.608576504434378	0.15933665938893948	0.3501494675664565	0.33510242170143356	0.15541145134317044	0.034250154210833404	4.5765628384472855E-6	4.576562838447285E-6	-5782560.790381546	0.0	-317.2139223165487
58000	-5782883.532069494	-323.2919322247247	-5782560.24013727	30.100295906906677	1994.5745674810714	549.5744483527096	92.35638933457815	23.220499297748226	0.15958946892515447	0.3498966580302415	0.33510242170143356	0.15541145134317044	0.020553254011936063	4.618307572014543E-6	4.618307572014547E-6	-5782560.24013727	0.0	-317.171076032421
59000	-5782882.454911637	-323.4662880563931	-5782558.988623581	30.258609084110685	1994.4162543038674	551.0926501174476	103.41066645739734	23.985022607071315	0.15958946892515447	0.3498966580302415	0.3350339971568644	0.15547987588773962	0.019319040899552244	4.609566982763253E-6	4.609566982763253E-6	-5782558.988623581	0.0	-317.1490289369579
60000	-5782884.072292154	-324.10291229040865	-5782559.969379864	30.15049762996908	1994.524365758009	552.768403950082	89.59703064971882	23.985022607071315	0.15958946892515447	0.3498966580302415	0.3350339971568644	0.15547987588773962	0.013299266684240349	4.594017169726684E-6	4.594017169726685E-6	-5782559.969379864	0.0	-317.95795740049846
61000	-5782885.379441597	-323.41471430609545	-5782561.964727291	30.1771600998513	1994.4977032881268	548.5264263040348	86.40383496344309	24.027206697832472	0.15958946892515447	0.3498966580302415	0.3350339971568644	0.15547987588773962	0.0165995274677414	4.66829656743986E-6	4.66829656743986E-6	-5782561.964727291	0.0	-317.28650613402124
62000	-5782875.401374255	-323.27750647731546	-5782552.123867778	29.90176143213422	1994.773101955844	547.5148250245659	86.90673093430979	25.20528070414427	0.15958946892515447	0.3498966580302415	0.3350339971568644	0.15547987588773962	0.026712327566912927	4.655145550374439E-6	4.655145550374439E-6	-5782552.123867778	0.0	-317.007913029162
63000	-5782885.687270947	-323.6577283175641	-5782562.02954263	30.13048250448849	1994.5443808834896	550.8962149022063	91.777802999362	25.106109795523007	0.15958946892515447	0.350040918732784	0.3350339971568644	0.15533561518519712	0.03271531622850743	4.674510405696007E-6	4.674510405696008E-6	-5782562.02954263	0.0	-317.32731009909156
64000	-5782874.630538328	-323.97540335302045	-5782550.655134975	30.18858938623587	1994.4862740017422	548.1887017522474	113.51443028344319	24.232659024287802	0.15958946892515447	0.350040918732784	0.3350339971568644	0.15533561518519712	0.012912449953146044	4.674510405696007E-6	4.6745104056960055E-6	-5782550.655134975	0.0	-317.53344624274234
65000	-5782874.156593585	-324.4124320626228	-5782549.744161523	30.10550466343439	1994.5693587245437	555.6144355299925	97.69174793509181	24.41111257493511	0.15958946892515447	0.350040918732784	0.3350339971568644	0.15533561518519712	0.019114196248996757	4.612140606489853E-6	4.612140606489857E-6	-5782549.744161523	0.0	-318.1196730937111
66000	-5782877.254346387	-322.1434013773186	-5782555.110945011	29.9784692305901	1994.696394157388	541.3749085552824	88.49974126288912	24.01519396772236	0.15958946892515447	0.350040918732784	0.3350339971568644	0.15533561518519712	0.017601002126263005	4.7825975657288576E-6	4.782597565728861E-6	-5782555.110945011	0.0	-315.9696632248504
67000	-5782873.828134713	-322.40127199628023	-5782551.426862717	30.589743701181014	1994.085119686797	545.5798641372592	96.07240997151222	23.27674584362879	0.15958946892515447	0.3501198250478902	0.3350339971568644	0.15525670887009094	0.01352808165091771	4.700416725399561E-6	4.700416725399563E-6	-5782551.426862717	0.0	-316.23311442222814
68000	-5782871.930843929	-323.51672431537236	-5782548.414119613	30.608331572272956	1994.0665318157053	551.4072615131444	101.49999699283222	24.617419373095323	0.15958946892515447	0.3501198250478902	0.3350339971568644	0.15525670887009094	0.013050089960507915	4.686695401067514E-6	4.686695401067516E-6	-5782548.414119613	0.0	-317.16198061537693
69000	-5782880.132161575	-324.2062618067474	-5782555.925899768	30.22257942638892	1994.4522839615893	555.583839770176	97.40477079137403	25.024193018595042	0.15958946892515447	0.3501198250478902	0.3350339971568644	0.15525670887009094	0.022876321285841047	4.576769007025045E-6	4.576769007025047E-6	-5782555.925899768	0.0	-317.85319854533117
70000	-5782888.846042283	-324.91004167031116	-5782563.936000613	30.231017005292525	1994.4438463826857	555.5489224489271	109.68905735242441	24.091196641408413	0.15958946892515447	0.3501198250478902	0.3350339971568644	0.15525670887009094	0.040459087257198635	4.566418273131247E-6	4.5664182731312475E-6	-5782563.936000613	0.0	-318.4834958287333
71000	-5782878.102187938	-327.08390450123164	-5782551.018283437	30.58973804806528	1994.0851253399128	562.012859941777	127.78136090860077	24.927671135016872	0.15951802923197264	0.3501198250478902	0.3351054368500462	0.15525670887009094	0.050165340927673246	4.464987152549665E-6	4.464987152549664E-6	-5782551.018283437	0.0	-320.40221229936793
72000	-5782879.32780023	-326.1011124663233	-5782553.226687764	31.11984954320047	1993.5550138447777	566.4627203894624	108.19246027600246	24.849247543120505	0.15951802923197264	0.3501198250478902	0.3351054368500462	0.15525670887009094	0.03734005668874002	4.553057853415563E-6	4.5530578534155586E-6	-5782553.226687764	0.0	-319.6326261440532
73000	-5782883.524308338	-323.8207108706833	-5782559.703597467	30.487436356283123	1994.187427031695	553.3866068120093	97.88058359494445	24.490451401312605	0.15951802923197264	0.3501198250478902	0.3351054368500462	0.15525670887009094	0.03848322363676668	4.649998061140884E-6	4.649998061140884E-6	-5782559.703597467	0.0	-317.4731822962581
74000	-5782881.247769769	-324.1606400389646	-5782557.087129731	30.729521914194137	1993.945341473784	552.5724850359212	82.8576636165737	25.623655245891673	0.15951802923197264	0.3501198250478902	0.3351054368500462	0.15525670887009094	0.04908520936998808	4.553239415202896E-6	4.5532394152028985E-6	-5782557.087129731	0.0	-317.87369755658295
75000	-5782873.082320354	-326.2136533955473	-5782546.868666958	30.99608939809082	1993.6787739898873	564.9736926211172	114.32815472992642	24.068042403082476	0.15951802923197264	0.3501198250478902	0.3351054368500462	0.15525670887009094	0.04900499854507172	4.516990030416717E-6	4.516990030416715E-6	-5782546.868666958	0.0	-319.7401365836778
76000	-5782877.187046742	-326.6096446660407	-5782550.577402076	30.784992669665385	1993.8898707183127	569.022542067392	107.32280167825606	23.941582225783165	0.15951802923197264	0.3501198250478902	0.3351054368500462	0.15525670887009094	0.04879944310264381	4.514016581090552E-6	4.514016581090552E-6	-5782550.577402076	0.0	-320.2232082395231
77000	-5782882.198023138	-325.15600601996937	-5782557.042017118	30.751944453934627	1993.9229189340435	560.6741954814631	105.92257006062727	24.014649577848438	0.15951802923197264	0.3501198250478902	0.3351054368500462	0.15525670887009094	0.030983727985584526	4.685410145139331E-6	4.68541014513933E-6	-5782557.042017118	0.0	-318.7863461929637
78000	-5782888.237312323	-324.7809329604281	-5782563.456379363	30.606851095147434	1994.0680122928306	559.2135078026174	99.83318467231997	25.21570438566404	0.15951802923197264	0.3498559400050335	0.33536932189290286	0.15525670887009094	0.053703987094885504	4.578535347205233E-6	4.578535347205238E-6	-5782563.456379363	0.0	-318.32375670848734
79000	-5782890.907564826	-324.32910789453126	-5782566.578456932	30.88323360824927	1993.7916297797287	556.0553082118154	96.50097762528134	26.6790934996641	0.15951802923197264	0.3499763277104559	0.33536932189290286	0.15513632116466855	0.037935695515427144	4.6138946503754015E-6	4.613894650375403E-6	-5782566.578456932	0.0	-317.79617722552837
80000	-5782888.013152026	-327.681385478947	-5782560.331766547	30.21740340755189	1994.4574599804262	552.8242289997348	68.250886476386	24.84716773471064	0.15951802923197264	0.3499763277104559	0.33536932189290286	0.15513632116466855	0.04725825590881215	4.591453082058492E-6	4.591453082058494E-6	-5782560.331766547	0.0	-321.6771236472511
81000	-5782883.342288998	-326.13620884524187	-5782557.206080153	30.923086343351343	1993.7517770446268	564.01907031128	108.69693082391987	25.66736286658935	0.15951802923197264	0.3499763277104559	0.33536932189290286	0.15513632116466855	0.0504067962413352	4.545267955464287E-6	4.545267955464284E-6	-5782557.206080153	0.0	-319.5565439218003
82000	-5782894.102317421	-327.01432126434685	-5782567.087996156	30.55051584206002	1994.124347545918	563.7419000556022	124.51643009405498	24.087996347012528	0.15951802923197264	0.3499763277104559	0.33536932189290286	0.15513632116466855	0.03726931904409923	4.597890401802582E-6	4.597890401802579E-6	-5782567.087996156	0.0	-320.4568152125742
83000	-5782877.9027503235	-323.9418986932537	-5782553.96085163	30.492041621824065	1994.1828217661541	555.2019034031059	91.9490266130181	25.00517918211735	0.15951802923197264	0.3499763277104559	0.33536932189290286	0.15513632116466855	0.016936879541372785	4.557556187604335E-6	4.557556187604334E-6	-5782553.96085163	0.0	-317.66736498999967
