# BEAST v10.5.0
# Generated Tue Aug 18 21:36:14 EEST 2026 [seed=1787078157934]
# -window -working -options
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	age(SAMN36729068_SRR25438644)	treeLikelihood	branchRates	coalescent
10000	-5603548.819471775	-57.248981824306384	-5603491.5704899505	77.84313901416206	1944.656860985838	246.03125745973085	45.22876050291421	6.1464113106088805	0.1590688180035751	0.3492627625786641	0.33633105285802484	0.15533736655973604	0.8137740092309765	6.920814114146253E-7	6.920814114146252E-7	0.0	-5603491.5704899505	0.0	-53.440123148456024
11000	-5603551.899800962	-58.74755766536059	-5603493.152243297	93.17344888448966	1929.3265511155103	295.51237350951965	47.62762106418292	6.088523781500688	0.1590688180035751	0.349864736813302	0.33572907862338697	0.15533736655973604	0.7115553249359345	6.165570203011288E-7	6.165570203011288E-7	0.0	-5603493.152243297	0.0	-55.252875114042844
12000	-5603538.923892054	-59.82099510672613	-5603479.102896947	119.8618178246558	1902.6381821753441	376.6107552102301	38.167535419651514	5.79898513923472	0.1590688180035751	0.3498715287697368	0.33535622890734046	0.15570342431934772	0.2860972578552313	4.319710414253615E-7	4.319710414253615E-7	0.0	-5603479.102896947	0.0	-57.780170151574886
13000	-5603550.055848487	-65.9496787992717	-5603484.106169688	165.5084305306305	1856.9915694693696	556.9469872564435	56.03096709673263	6.135977643780587	0.1590688180035751	0.3498715287697368	0.3352480553195931	0.15581159790709503	0.1597244814851549	2.8497017147759564E-7	2.8497017147759564E-7	0.0	-5603484.106169688	0.0	-64.07892180107946
14000	-5603538.518250153	-62.552852721652755	-5603475.9653974315	138.75393581675013	1883.74606418325	458.5230115689576	58.080802641364436	5.734953153745478	0.1590688180035751	0.35008658941948356	0.3352480553195931	0.15559653725734832	0.10365798737476076	3.5494695594472724E-7	3.5494695594472724E-7	0.0	-5603475.9653974315	0.0	-60.650605273532946
15000	-5603536.098681767	-57.183237123040904	-5603478.915444643	95.12368138718084	1927.3763186128192	306.10826081812525	31.52623587442058	6.081683838054321	0.1590688180035751	0.3499009665822523	0.3354336781568244	0.15559653725734832	0.15791970111300807	5.313960672121476E-7	5.313960672121476E-7	0.0	-5603478.915444643	0.0	-55.31776634387927
16000	-5603536.8656514855	-58.779609911069926	-5603478.086041574	100.33718664515234	1922.1628133548477	321.87932837638897	25.45911110500965	6.121079808963394	0.16001244685883606	0.3499009665822523	0.33449004930156345	0.15559653725734832	0.1756045564488976	5.392311260778897E-7	5.392311260778897E-7	0.0	-5603478.086041574	0.0	-57.106360895239085
17000	-5603533.995897835	-57.93416608817715	-5603476.061731747	105.80987183721622	1916.6901281627838	333.1521998370146	35.06514385151875	6.26715096811685	0.16001244685883606	0.35015089200725086	0.33449004930156345	0.1553466118323497	0.12202257426902616	5.141836674084979E-7	5.141836674084979E-7	0.0	-5603476.061731747	0.0	-56.04364357761141
18000	-5603536.7147337375	-58.7369973545116	-5603477.977736383	87.03212057430734	1935.4678794256927	287.9165436030206	21.08438901085099	6.759083885843421	0.15935844167550275	0.3502394316705325	0.3352927550350683	0.1551093716188965	0.17238769377793534	5.923909388190173E-7	5.923909388190172E-7	0.0	-5603477.977736383	0.0	-57.00634406675468
19000	-5603534.720032327	-53.84531619769068	-5603480.874716129	81.92872684934578	1940.5712731506542	252.95345902797632	26.590907543322135	5.117963679719181	0.15935844167550275	0.3502394316705325	0.3352927550350683	0.1551093716188965	0.0935464399923698	6.416019083329812E-7	6.416019083329812E-7	0.0	-5603480.874716129	0.0	-52.34592744036011
