# BEAST v10.5.0
# Generated Wed Aug 19 09:03:02 EEST 2026 [seed=1787118699297]
# -window -working -options
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	age(SAMEA7472536_ERR4920658)	age(SAMEA6797401_ERR4056630)	age(SAMEA6797389_ERR4056585)	age(SAMEA6647237_ERR4028006)	treeLikelihood	branchRates	coalescent
10000	-9114675.639862299	-275.50916206784393	-9114400.13070023	31.935423848081026	1991.719370672467	402.362369539282	61.481140970683775	5.155413642142387	0.15452760370516191	0.35259707523423894	0.3332885890364813	0.1595867320241178	0.01887390396466632	3.6394441064886246E-4	3.639444106488623E-4	5.869586565525595	8.59474019106743	6.878968332753164	8.555796495751538	-9114400.13070023	0.0	-270.1920493258914
11000	-9105695.471103666	-279.6055086554756	-9105415.865595011	33.046503167442914	1990.608291353105	427.1795408052402	75.9900494280332	5.155413642142387	0.15452760370516191	0.35259707523423894	0.3332885890364813	0.1595867320241178	0.020584520387316785	3.404027801222234E-4	3.404027801222237E-4	5.748729712986883	8.59474019106743	7.104269111562465	8.555796495751538	-9105415.865595011	0.0	-274.1231915849925
12000	-9096408.010378422	-283.6462389729212	-9096124.364139449	35.4569601719975	1988.1978343485505	451.8535297305517	74.78871318191558	5.094240359162692	0.15452760370516191	0.35259707523423894	0.3332885890364813	0.1595867320241178	0.02214070019791851	3.249207945395132E-4	3.249207945395132E-4	7.110499328420616	8.59474019106743	6.430865727950924	8.555796495751538	-9096124.364139449	0.0	-278.2446586356707
13000	-9080490.862379868	-286.32449750429686	-9080204.537882363	37.63285635496842	1986.0219381655795	477.14140227859804	80.17194637544416	5.094240359162692	0.15473147166522444	0.35259707523423894	0.33308472107641873	0.1595867320241178	0.013488668088962853	3.0344635468557683E-4	3.0344635468557694E-4	6.625840671181049	8.614745552888264	5.480855377917802	8.559795674273612	-9080204.537882363	0.0	-280.92884632287286
14000	-9054272.147426777	-291.42359618794626	-9053980.723830588	37.22034805098766	1986.4344464695603	507.2380735243086	96.56976919903909	5.094240359162692	0.15530059459023063	0.35259707523423894	0.3325155981514125	0.1595867320241178	0.01183747306247027	2.7810134134625985E-4	2.781013413462599E-4	5.811263616161446	8.614745552888264	5.896964059073837	8.645566236365564	-9053980.723830588	0.0	-285.90686022699145
15000	-9044076.69771582	-295.1898742657938	-9043781.507841555	39.06178817733678	1984.593006343211	536.3115521292468	102.19721628636191	5.094240359162692	0.15530059459023063	0.3521641014750502	0.3329485719106013	0.1595867320241178	0.007428224467771671	2.649133713669909E-4	2.6491337136699095E-4	6.18416801663456	8.652151041378417	5.896964059073837	8.645566236365564	-9043781.507841555	0.0	-289.6708935314903
16000	-9039350.775610832	-298.4478746224659	-9039052.32773621	39.9452493451667	1983.7095451753812	561.2930184911811	108.25875364060491	5.094240359162692	0.15530059459023063	0.3521641014750502	0.3329485719106013	0.1595867320241178	0.005443577716008029	2.499191475536188E-4	2.499191475536189E-4	6.449355938839092	8.652151041378417	6.318169488565333	8.64712049153359	-9039052.32773621	0.0	-292.92293433054033
17000	-9035718.443766095	-301.1011446913708	-9035417.342621403	41.020724826649754	1982.6340696938983	582.5685365771881	94.16489920982724	5.080540843105293	0.15570733061599001	0.351986734912925	0.3326577590782008	0.15964817539288412	0.017755518864163048	2.405615789344483E-4	2.4056157893444807E-4	6.174397373431384	8.652151041378417	6.56386037528604	8.64712049153359	-9035417.342621403	0.0	-295.74660146583494
18000	-9032102.977205645	-303.5179015431908	-9031799.459304102	42.004150713207146	1981.6506438073409	604.9708613401135	116.11038644390126	5.080540843105293	0.15570733061599001	0.351986734912925	0.3326577590782008	0.15964817539288412	0.022716252607781384	2.3096599066789559E-4	2.309659906678955E-4	6.775442476610376	8.652151041378417	6.362705406089233	8.64712049153359	-9031799.459304102	0.0	-297.96184245837725
19000	-9027959.735287659	-306.09752703273364	-9027653.637760626	43.004395205923736	1980.6503993146243	625.6257724405391	127.94222487837536	5.089825962111564	0.15570733061599001	0.351986734912925	0.3326577590782008	0.15964817539288412	0.021426064017803777	2.2376996097504823E-4	2.2376996097504833E-4	6.401860548688873	8.652151041378417	7.060110189272803	8.64712049153359	-9027653.637760626	0.0	-300.4650616771967
20000	-9024967.216863783	-308.29514354463817	-9024658.921720238	43.35560076690726	1980.2991937536408	647.2415219355045	126.51470687444588	5.089825962111564	0.15570733061599001	0.3521411055290881	0.3326577590782008	0.15949380477672098	0.0166474449833318	2.180196138736997E-4	2.1801961387369964E-4	6.197479426017693	8.652151041378417	6.534043162949268	8.64712049153359	-9024658.921720238	0.0	-302.71375719993364
21000	-9021953.735178458	-310.83688014677983	-9021642.89829831	44.879683868739576	1978.7751106518083	664.8962647192475	102.32609945753845	5.101435053320477	0.15588636823757787	0.35187837939923033	0.33274144758647073	0.15949380477672098	0.016901970586484624	2.0959839410994153E-4	2.095983941099415E-4	6.105799087347205	8.652151041378417	6.750284088499349	8.64712049153359	-9021642.89829831	0.0	-305.5228622680917
22000	-9019412.919144988	-311.79811100883717	-9019101.12103398	46.189101165188674	1977.4656933553592	685.714533885954	111.76516993153363	5.096004926128625	0.15588636823757787	0.35177023627141807	0.3325887826379353	0.1597546128530687	0.01868918429607317	2.0129132698209687E-4	2.012913269820969E-4	5.705363373511983	8.652151041378417	7.288350106802754	8.64712049153359	-9019101.12103398	0.0	-306.4213943880875
