# BEAST v10.5.0
# Generated Sat Feb 14 14:32:20 EET 2026 [seed=1771072325257]
# -window -working -options
# keywords: skygrid
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	skygrid.precision	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.cutOff	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	branchRatesHMC.rate	branchRatesHMC.scale	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	skygrid
0	-9391067.412162052	-274323.94203594595	-9116743.470126107	108.5212738587838	1916.1535895291943	905.6336487758813	0.1	1.0	1.0	1.0	1.0	1.0	1.0	36.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.001	1.0	9.999999999999997E-7	2.1269315631231987E-15	0.9910714285714288	-9116743.470126107	0.0	-2317.3771298149854
5000	-8697934.707272546	-1940.6283854160529	-8695994.078887131	240.9796350496266	1783.6952283383516	2881.198093648632	0.11569763693168086	6.567055684382523	8.177517948533119	9.477481777178248	8.914702670488564	6.756738940373737	5.800233826677276	36.0	25.574458046691095	0.2165756432569036	0.28698729543452767	0.27749461087085425	0.21894245043771457	0.022619035845513055	3.229954554182702E-5	21.190775336114385	1.4000935198516163E-6	1.7963469948123505	-0.03711543404786322	-8695994.078887131	0.0	-414.1089670343764
10000	-8526059.295002533	-1251.6087016848012	-8524807.686300848	236.93805572169026	1787.7368076662879	2890.773795804	0.18047282435059142	8.15450534525983	8.77482818548071	7.031076199103364	7.657437418787971	5.970697308104162	5.631551535643612	36.0	26.921144960951487	0.1633949955454827	0.3216110573668479	0.3226972802373426	0.19229666685032681	0.039319325886553486	2.5426319832450942E-5	47.044534041500626	1.184567787579113E-6	6.073542194861948	0.01449013513535348	-8524807.686300848	0.0	-419.67955730213777
15000	-8487516.977720836	-1032.5070626636686	-8486484.470658172	245.8223626855345	1778.8525007024436	2962.3751566420506	0.6957531954081712	6.674856843469559	8.229364938164753	9.358817687656845	8.002530887237025	6.440153656368006	5.69249099138508	36.0	26.818055590296883	0.16268209534818326	0.3408776820855567	0.3357877713564606	0.16065245120979935	0.015260484760569388	2.090608204833577E-5	66.40331751529342	1.016820231851902E-6	1.6914373190088154	0.23955091328251069	-8486484.470658172	0.0	-418.57824438039125
20000	-8485291.88602736	-914.2759182739912	-8484377.610109087	261.86905282047843	1762.8058105674997	3213.241772749265	2.0712860432976363	7.389139986812569	7.786071184328168	7.939138858978634	7.51649811350261	6.984719114659884	5.9403324167048215	36.0	26.433036926386706	0.16116616255360353	0.33986516805379874	0.3380704446342668	0.1608982247583309	0.04527549800413495	1.890429904084991E-5	81.94870044285996	9.104499917741372E-7	0.889756037043708	0.16275853778449492	-8484377.610109087	0.0	-423.55350806465054
25000	-8477750.051979158	-854.0610201577126	-8476895.990959	249.28228494616542	1775.3925784418127	3061.8863792358206	3.796105291775753	6.937862385628116	7.92418402591854	8.091525490333751	7.39924719297207	6.41908666310111	5.732269035516512	36.0	26.985270755720002	0.16135050422830394	0.34009706135703305	0.33783855133103247	0.1607138830836305	0.018606632618186097	1.9066742514995832E-5	98.99814472905197	9.135224365653591E-7	0.8436142535018922	0.14416494991687612	-8476895.990959	0.0	-420.02343071837873
30000	-8471615.452169232	-889.8310640221368	-8470725.62110521	227.42814152690497	1797.2467218610732	2885.9259911422323	7.143640897487961	6.685069894667666	7.215552253168802	7.262722801232099	7.309279199062903	6.491633472420199	6.07542072408606	36.0	27.24944269443256	0.16129542316176354	0.34023114700184415	0.337613457729106	0.16085997210728628	0.01925304882036606	2.053141578937214E-5	105.06100966379604	9.245077300238854E-7	0.8738006452943164	-0.10600670624754564	-8470725.62110521	0.0	-418.1536366071274
35000	-8471523.832821405	-855.064973594385	-8470668.76784781	236.4312743424892	1788.243589045489	3046.100102319458	2.761224325864447	7.19898125804427	6.666796263332276	7.471994448455349	6.9903978502243795	6.274195493102484	6.009222340645608	36.0	25.34966179854692	0.16129542316176354	0.34023114700184415	0.337613457729106	0.16085997210728628	0.03581307579914626	1.974618460918834E-5	108.32097143981977	8.817244456290034E-7	0.7991516941995042	-0.02205561821444834	-8470668.76784781	0.0	-426.8267361874608
40000	-8470967.157241944	-822.6768735772414	-8470144.480368366	219.88483516540708	1804.790028222571	2848.971521861514	2.025326732129037	8.142844368106232	8.270410760463909	6.96478254880943	7.737316804908244	6.371598537477194	5.965973299553975	36.0	26.789989617105935	0.16129542316176354	0.34023114700184415	0.33760148110157445	0.1608719487348179	0.03680794676891368	2.099655973559394E-5	102.9078571543115	9.341614427825906E-7	0.7659071517908027	0.003629204000491753	-8470144.480368366	0.0	-428.04333070787686
45000	-8468174.870540826	-765.1499601435723	-8467409.720580682	195.30559637118338	1829.3692670167948	2495.658990354216	0.4423880895424568	6.674219578326741	6.856804932227038	7.332837936414228	6.612977542656723	7.052051063679703	5.6631678713220825	36.0	25.8274163263346	0.16129542316176354	0.34023114700184415	0.33760148110157445	0.1608719487348179	0.006119288523886402	2.2509335798974782E-5	98.07248511844071	1.0596948715718795E-6	0.8416196386894131	-0.027800381751993303	-8467409.720580682	0.0	-410.9166473916863
