# BEAST v10.5.0
# Generated Sat Nov 08 09:18:28 EET 2025 [seed=1762586295819]
# -window -working -options
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	branchRatesHMC.rate	branchRatesHMC.scale	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
100000	-8464262.923121158	-431.1726081478822	-8463831.75051301	32.500230884015	1992.174632503963	505.10986625701184	84.93624728755523	25.365125827104052	0.161705070305139	0.3400885120965156	0.33740429223751095	0.16080212536083457	0.0552755270910549	9.49623384486822E-5	74.92542749455573	5.085879279466733E-6	0.7881529321181859	-0.04292057707877438	-8463831.75051301	0.0	-303.204668785178
110000	-8464223.396156648	-427.82586574025356	-8463795.570290908	31.70947159239149	1992.9653917955866	495.38828362679664	70.04352402683831	27.999895347725243	0.16162803879745144	0.34016554360420315	0.33723191412831527	0.16097450347003023	0.01701149389652972	9.104405062319204E-5	68.60220015482183	5.176684462493067E-6	0.793300615242631	-0.07638720329815807	-8463795.570290908	0.0	-300.8496235672806
120000	-8464240.154653858	-419.5278319645488	-8463820.626821894	32.825119268420096	1991.849744119558	502.1477026535657	62.56531154186676	25.588614840207086	0.16162803879745144	0.34016554360420315	0.33723191412831527	0.16097450347003023	0.025224300037500546	8.60569057236864E-5	65.12731012430564	5.139777812751204E-6	0.7497065508709266	-0.00681087149494627	-8463820.626821894	0.0	-303.10512487529206
130000	-8463087.104305122	-418.3191430092614	-8462668.785162114	31.62356787500349	1993.0512955129745	489.63635060098824	85.9424000708013	25.976782675177603	0.16118665552760103	0.33993773861302706	0.33790110238934173	0.16097450347003023	0.0159779318804389	8.682005294626594E-5	66.94108760381519	5.183476861110007E-6	0.661645373382659	-0.10272323669033433	-8462668.785162114	0.0	-301.4447146508874
140000	-8463074.29484236	-392.0931901428331	-8462682.201652218	32.2601301033006	1992.4147332846776	512.3304477142872	76.28562547583577	25.9599357415384	0.16118665552760103	0.33993773861302706	0.33790110238934173	0.16097450347003023	0.0329087009857565	7.751259187379466E-5	62.71035264256592	4.9579280351612325E-6	0.5938323677181834	-0.03201913894940251	-8462682.201652218	0.0	-305.4581248119089
150000	-8463078.019994834	-389.4648321435482	-8462688.55516269	32.18956979436241	1992.4852935936158	518.551015062517	87.01176802008247	26.783960237096874	0.1614307641675366	0.3403273139009805	0.3373380431495487	0.16090387878193438	0.030709571694854495	7.869102391920219E-5	61.01425470606542	4.901750870798872E-6	0.6450283848677351	-1.321679268228633E-4	-8462688.55516269	0.0	-307.3124417022749
160000	-8462069.109674236	-413.7247484732609	-8461655.384925762	33.03073848933621	1991.6441248986418	524.6914817360058	99.36414453995057	26.268357114084942	0.16118675695373544	0.3403273139009805	0.33746489148383163	0.1610210376614526	0.003776895571001628	7.719581899200871E-5	60.05656213675415	4.812265895763225E-6	0.6759311744244899	-0.08814785169578568	-8461655.384925762	0.0	-309.15262211825757
170000	-8462028.08397797	-382.8737914300217	-8461645.21018654	31.522647600566458	1993.1522157874117	506.08522005765263	85.34834727399789	25.632009999174958	0.16118675695373544	0.3401266137864632	0.33746489148383163	0.16122173777596988	0.01554189038139817	7.715354246203998E-5	57.02758844098875	4.901440977453195E-6	0.6286745303269241	-0.013606527660383474	-8461645.21018654	0.0	-304.9968481674899
180000	-8460644.585148623	-364.72584023605344	-8460279.859308388	33.73892485246723	1990.9359385355108	526.4663504124134	87.57116676908852	26.876469006347993	0.16108691048800414	0.3402264602521945	0.33746489148383163	0.16122173777596988	0.011923844264146667	7.618657992754013E-5	58.85042571211182	4.7094380747089285E-6	0.6131227310550748	0.0810518815927589	-8460279.859308388	0.0	-308.9671470780713
190000	-8460634.494214576	-341.9414464058474	-8460292.552768169	34.50629877677295	1990.168564611205	543.2569762682194	82.99550115571462	24.629345051555344	0.16133636293984321	0.3401410690882164	0.3377422219174599	0.16078034605448063	0.02762871477656913	7.339850372635612E-5	57.430851153878315	4.665462086713425E-6	0.5626025659677004	0.11042066794908167	-8460292.552768169	0.0	-310.86410131266956
200000	-8460632.4526084	-350.0489032434603	-8460282.403705155	33.69660266045046	1990.9782607275276	522.9676877444881	95.62079436551191	26.2698019891959	0.16133636293984321	0.34013749047908703	0.33774580052658926	0.16078034605448063	0.03007534408465566	7.246927347750713E-5	51.537777474685114	4.7044103970099464E-6	0.5771898574138201	0.03256056920067611	-8460282.403705155	0.0	-307.7840999611387
