# BEAST v10.5.0
# Generated Wed Nov 05 10:16:46 EET 2025 [seed=1762330553656]
# -window -working -options
# keywords: skygrid
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	skygrid.precision	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.cutOff	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	branchRatesHMC.rate	branchRatesHMC.scale	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	skygrid
0	-9392743.0750293	-274827.92799971823	-9117915.147029582	186.451438597356	1838.2234247906222	1357.2015216192622	0.1	1.0	1.0	1.0	1.0	1.0	1.0	36.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.001	1.0	1.0000000000000006E-6	2.1269315631231987E-15	0.9910714285714288	-9117915.147029582	0.0	-2821.113798359858
5000	-8669289.345127814	-3130.8031818422196	-8666158.541945972	3518.0013936107275	-1493.3265302227494	34007.065609528545	11.467806256056942	10.219606889212791	10.5814680056338	9.741216833924238	9.497683311850105	9.092084598035829	8.766886070732173	36.0	26.39467244903668	0.20750644694152942	0.2879868268891952	0.2989166023492767	0.2055901238199986	0.025095540400393374	1.0316882226005099E-5	41.127322182602214	1.347916320040458E-7	3.553198937434887	-0.05162234870650029	-8666158.541945972	0.0	-567.5366303562965
10000	-8520426.20793622	-1885.585084647741	-8518540.622851573	42937.9316515279	-40913.25678813992	419446.8040817147	2.094611697635639	10.607320390573848	11.389637415989279	11.134454659841946	11.462749440963433	11.178260919701705	11.513913698609848	36.0	27.250303340823482	0.15935961611946808	0.3412560159572251	0.3372686824130654	0.1621156855102414	0.023345459691652002	5.498206695747318E-7	149.8528633190098	8.664530347332088E-9	2.9127973542924597	-0.05876129853753726	-8518540.622851573	0.0	-713.7970057063199
15000	-8508710.239481775	-1973.9958458283354	-8506736.243635947	61230.93453453434	-59206.25967114636	598367.869080184	6.672804159893781	11.16368564228441	11.02950966762689	10.123548089653847	10.921524600414044	11.579536314913055	11.795880353583744	36.0	26.723070599284583	0.16128979407768348	0.3403729806170001	0.33746561055339597	0.16087161475192044	0.005216261082329259	3.182892450534746E-7	173.84503936780965	5.6953087006646486E-9	3.090741595285171	-0.07777035837448591	-8506736.243635947	0.0	-736.9715594290842
20000	-8493000.74280557	-1898.2830138153986	-8491102.459791755	31895.703368422364	-29871.028505034385	311541.21227176674	27.700058730342313	10.689620112283487	11.303240255055849	11.386965856802318	11.305558010350705	11.129157644953075	11.068776207765493	36.0	27.562655604124497	0.16128979407768348	0.34000491866671934	0.33783367250367674	0.16087161475192044	0.018569769126764515	5.426157062830167E-7	225.8515105331296	9.740134905846809E-9	5.1421621601350225	-0.02841147180127862	-8491102.459791755	0.0	-695.0414451242375
25000	-8485992.730356883	-1737.312938295891	-8484255.417418588	37226.776789302676	-35202.1019259147	363472.4486339926	11.844476309508469	11.624440843328882	11.549988146859036	10.8756425846365	10.698345334789465	10.582063049976558	11.095683720682526	36.0	26.951369491844282	0.1613760926930351	0.34000491866671934	0.3377473738883251	0.16087161475192044	0.008121566603764882	3.996014862992146E-7	202.87632496344946	8.07565064286998E-9	2.9641252269704683	-0.05390430213004082	-8484255.417418588	0.0	-706.0687698377102
30000	-8482712.940838933	-1639.1331195613375	-8481073.807719372	11433.32930111243	-9408.654437724452	111343.91898562407	63.526065637488514	10.100347004918588	10.038666211531485	10.042002291734034	10.067121077351082	10.116598156244182	9.981110895802981	36.0	25.592742350472395	0.1613760926930351	0.34000491866671934	0.3377473738883251	0.16087161475192044	0.017404833876198834	1.2495934936909776E-6	212.56240059676628	2.6135539479750927E-8	1.8839441851796623	-0.12958631034516668	-8481073.807719372	0.0	-629.1662601881703
35000	-8481525.461985147	-1508.948577369486	-8480016.513407778	3368.2118975792696	-1343.5370341912915	32495.160480374063	64.35640172827186	8.972184113281399	8.760073060825604	8.826702317241418	8.875739976972755	8.859512130894704	8.800671836195942	36.0	25.854043715604337	0.1613760926930351	0.33994671384723274	0.3378055787078117	0.16087161475192044	0.03060375746482448	4.0042095089646374E-6	204.49639130943802	8.803057564031565E-8	1.4705252594440863	-0.13134913198295625	-8480016.513407778	0.0	-557.894055543065
40000	-8480907.819882063	-1484.7782741020128	-8479423.041607961	7025.411273553718	-5000.73641016574	68276.93055098927	0.9151919513442937	11.499827894729679	12.316477373819481	10.577366154334767	9.888976256898916	9.43411691224383	9.451486140560965	36.0	28.26224338714018	0.1613760926930351	0.33994671384723274	0.3378055787078117	0.16087161475192044	0.014155177877049598	1.843565049574107E-6	191.53218237290915	4.2015021285226837E-8	1.2955799233521719	-0.10248390840329555	-8479423.041607961	0.0	-611.5667078120636
45000	-8479211.628175147	-1382.3889608795143	-8477829.239214268	2262.8858128524475	-238.21094946446942	21758.81425433661	6.783582859717	10.307523980586735	9.675690831211742	9.445257538303055	8.770476090043111	8.774960655738166	8.316584139482757	36.0	26.2911503356483	0.16107483942177073	0.33994671384723274	0.3378055787078117	0.1611728680231848	0.027482569539855263	5.323950184808079E-6	174.54078683357173	1.2975882345176432E-7	1.2777613297754986	-0.09941924548144367	-8477829.239214268	0.0	-537.4308979990932
50000	-8477670.328242693	-1386.7973408331345	-8476283.53090186	2205.6817152358058	-181.00685184782765	21234.335795324067	0.178758367452035	11.694799143854132	10.436588633846691	9.09592474153819	13.730514526426681	10.314390347364235	8.253335798633826	36.0	25.276665531663298	0.16138812550588832	0.33992889315368285	0.337510113317244	0.1611728680231848	0.022260115926454084	5.04135690193523E-6	171.28691141199238	1.3171122476388134E-7	1.2617407489287082	-0.10489852763827956	-8476283.53090186	0.0	-543.1619356233648
55000	-8475193.388480125	-1341.0573680639873	-8473852.33111206	3507.7293292225672	-1483.054465834589	34102.47673176807	1.56416931481855	13.28167110159745	12.602678343131634	11.871666762774534	10.215848171090688	9.052120667016577	8.867740507484092	36.0	27.104747915468405	0.16143420977025597	0.3405788564094141	0.3373646460325957	0.16062228778773427	0.0036294845808195553	3.029921284689894E-6	178.04596298923158	7.992387179517876E-8	1.2336730615544182	0.02382377140180688	-8473852.33111206	0.0	-568.8215508331019
60000	-8473720.332142651	-1285.05659111477	-8472435.275551537	3585.2154368844704	-1560.5405734964922	34859.44531186549	0.10169855470287029	13.08269951698747	11.961070700630252	14.834983242937625	16.10987735280953	12.561215358373003	8.76010459457416	36.0	26.800127147490265	0.16143420977025597	0.3402025086393961	0.3373646460325957	0.1609986355577523	0.011654665231300886	2.8417903043356313E-6	170.96391293788056	7.769596021014133E-8	1.1452798294836526	0.0037081204967511073	-8472435.275551537	0.0	-573.009725799564
65000	-8471359.08474083	-1434.3799459648221	-8469924.704794865	5252.281843686612	-3227.606980298634	51237.24213854594	0.1206890084927558	11.483387846080817	13.012648721065002	11.247789280601829	11.117948363608015	9.639548889560457	9.273431202692962	36.0	25.963286935582932	0.16154174115703096	0.3402815850022636	0.33717803828295323	0.1609986355577523	0.007131789397612836	1.911220910325991E-6	171.67258724898966	5.2104095720163355E-8	5.489329604594685	-0.024178776184359107	-8469924.704794865	0.0	-596.1381250426067
70000	-8469996.640657982	-1234.0168684010941	-8468762.62378958	1104.8977083612338	919.7771550267444	10487.135734384805	0.38944167377805694	7.8297150066136325	8.963406926915214	8.957397682545906	8.590777315894487	10.589861271386031	7.205899293153102	36.0	26.992416234059128	0.16154174115703096	0.3403965175154765	0.33717803828295323	0.16088370304453933	0.008889332717087643	8.658937114723864E-6	159.82362831054627	2.5192087418025855E-7	1.5069661877559246	-0.03530443996062711	-8468762.62378958	0.0	-496.03958372773775
75000	-8469376.140105976	-1142.0771303615916	-8468234.062975613	1114.9003529245988	909.7745104633793	10571.944003626468	0.12923720650544196	11.882295621714805	8.870215270159377	9.047493449760529	8.845566071430586	8.895773490207064	7.499164178152171	36.0	27.727015366702094	0.16154174115703096	0.3403965175154765	0.33717803828295323	0.16088370304453933	0.025376102852979813	8.210243372306368E-6	147.14484817580453	2.4865148982951217E-7	1.1169504871561866	0.020321212570336592	-8468234.062975613	0.0	-494.2648220352331
80000	-8468521.464634355	-1077.1920998195478	-8467444.272534536	947.6939868383017	1076.9808765496764	8942.945400447312	0.27673188371100604	15.679942122779359	12.257694127568547	9.90031944986355	9.360126349581442	8.430725749964251	7.042110124768642	36.0	24.708532094445193	0.1613276482274462	0.34053139556132933	0.3372572531666852	0.16088370304453933	0.007362894257450693	9.543829526742383E-6	143.29633506791225	2.9635237447871746E-7	1.0727198119461605	0.04346859666567841	-8467444.272534536	0.0	-486.202398476243
85000	-8467962.83150979	-1079.8952505525745	-8466882.936259236	1107.9542439143588	916.7206194736193	10631.677240400133	0.10864660514917412	14.659699464812254	18.053192337262136	10.63525483829645	9.76210005069583	8.600609256464757	7.360301503937554	36.0	25.935244239543042	0.16118913125609827	0.34053139556132933	0.3373957701380331	0.16088370304453933	0.01204825427156292	7.848377832456062E-6	149.95123265172816	2.4772584405055524E-7	1.0491168322096813	0.09818519142593432	-8466882.936259236	0.0	-495.84133292227557
90000	-8465937.787848622	-1120.3788688053764	-8464817.408979816	1515.3544490236297	509.3204143643484	14800.193137769234	1.6785723232091043	11.445496274407569	10.681987691515523	9.763439091553023	9.518099400451582	8.936642828296053	7.628402791281956	36.0	25.698039296266355	0.16118913125609827	0.34053139556132933	0.3373957701380331	0.16088370304453933	0.02334814498840969	5.217848560436411E-6	154.66635130269552	1.74258755795281E-7	1.043842071378091	0.16367976121502886	-8464817.408979816	0.0	-514.6584657634357
95000	-8463035.933244187	-1046.9765004251312	-8461988.956743762	996.8849849606542	1027.7898784273239	9692.548021410445	5.7868931582766	8.508266402640876	8.457321353752874	7.857636902301281	7.698278286383374	8.092784159664072	7.356494737104517	36.0	28.494222770964274	0.1612863911404639	0.3404341356769637	0.3373957701380331	0.16088370304453933	0.03204326095437595	6.823131957137137E-6	122.47925144239068	2.5691668688501247E-7	1.0415316095932783	0.09487158935009224	-8461988.956743762	0.0	-487.25582960896253
100000	-8462997.77999468	-1044.9907395931532	-8461952.789255086	947.7992113968378	1076.8756519911403	9221.577352869692	0.6020128292996836	7.265808297461381	9.713362741331295	9.415497497537775	9.072744765510583	8.409349996221064	7.328311909544003	36.0	26.00362694230505	0.1612863911404639	0.34040335277811823	0.3373957701380331	0.16091448594338478	0.028503973457747682	7.270064595355987E-6	124.19952937056948	2.7068550505840535E-7	1.0429363956180973	0.0947674008468878	-8461952.789255086	0.0	-485.9916610915882
105000	-8462957.945482248	-1026.776272748251	-8461931.1692095	715.3916563087529	1309.2832070792251	6934.813900385303	1.7668454763220274	9.332240045648575	8.953422280730425	8.261228691716983	7.302813851586138	7.786874238470154	7.212099082032815	36.0	26.81361520263729	0.1612863911404639	0.34030869987698853	0.3374904230391628	0.16091448594338478	0.01955931891864922	9.158563838626443E-6	118.23763239643176	3.624049225123195E-7	1.037971767346181	0.09513480508905324	-8461931.1692095	0.0	-472.3504838456159
110000	-8462937.008070376	-1015.3074575897874	-8461921.700612785	701.322979330463	1323.3518840575152	6895.823858245937	1.0753368086132573	8.147342159039216	8.33431365140519	8.269166773781308	8.486302456577292	7.055751168801408	6.825328037335208	36.0	26.104257434102376	0.1612863911404639	0.34030869987698853	0.3374904230391628	0.16091448594338478	0.00681211150266663	8.937472919819183E-6	111.35967290429369	3.7066890166305036E-7	1.0318852448052642	0.0955821355110666	-8461921.700612785	0.0	-468.35901756004074
115000	-8462938.343399473	-1001.4886386096143	-8461936.854760863	600.2399162086131	1424.434947179365	5938.538146943091	0.7440442168103589	7.738907552154071	7.476699342102159	7.229023144573235	7.0393357664507965	7.068424957829719	6.632146546182255	36.0	25.52919540154392	0.1612863911404639	0.34030869987698853	0.3374904230391628	0.16091448594338478	0.007415415736648225	9.693754648975503E-6	104.21612974269146	4.250583871103676E-7	1.0251023310128222	0.1024106565363096	-8461936.854760863	0.0	-461.99387682893786
