# BEAST v10.5.0
# Generated Sat Nov 15 08:44:38 EET 2025 [seed=1763189061400]
# -window -working -options
# keywords: skygrid
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	skygrid.precision	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.cutOff	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	branchRatesHMC.rate	branchRatesHMC.scale	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	skygrid
50000	-8460921.321340898	-625.2902924469545	-8460296.03104845	206.49816570483986	1818.1766976831382	1546.9062538327157	2.9763375604652755	5.446814253144041	6.166852997798446	5.6523812417558	5.526304380858251	4.791899008037715	4.41928093935899	36.0	26.133543243351554	0.16116232454971305	0.3401269656616166	0.33744947476039683	0.16126123502827353	0.019473763427849185	4.427628415545964E-5	108.10368934956686	1.604303207295259E-6	0.6937453162928887	0.22559787253887031	-8460296.03104845	0.0	-369.61228656247334
55000	-8460886.31389062	-585.7221947828584	-8460300.591695836	203.06922782488596	1821.6056355630922	1512.8424000214463	5.962492378445624	5.659019543591373	5.811179420633056	5.857359308948485	5.704821893985466	5.445922629348863	4.6544220509493055	36.0	25.653624363425845	0.16132469575839375	0.3401269656616166	0.33780945907050863	0.160738879509481	0.029334830929124017	4.3650046183180466E-5	104.98117589720178	1.6605953923097098E-6	0.7321804716680552	0.30867788069694074	-8460300.591695836	0.0	-365.6314274683531
60000	-8460895.06464566	-585.1666496651524	-8460309.897995993	190.8787298663079	1833.7961335216703	1566.1402139584545	23.177996296241126	5.162438032158294	5.270716080247769	5.775267845406261	5.373390983893777	5.341599142665124	4.941573283391399	36.0	25.12636013317103	0.16132469575839375	0.3401269656616166	0.33780945907050863	0.160738879509481	0.03414944424235631	4.1971988687972314E-5	100.71580155870905	1.609922762093042E-6	0.6626670243742244	0.2782290176827701	-8460309.897995993	0.0	-374.80859232836633
65000	-8460865.953119155	-577.4631338964043	-8460288.48998526	170.61937256591304	1854.0554908220652	1510.7599380221648	1.7976236885058152	5.38886844712479	5.712944630834177	6.360458466865868	6.052010891760435	5.371745731275382	5.174550796423021	36.0	26.593084399194854	0.16126204714905068	0.34030665487738787	0.33769241846408043	0.160738879509481	0.04277570742749463	4.393608496462938E-5	100.64518799196692	1.6439072721644484E-6	0.6140143832346775	0.2861367357517158	-8460288.48998526	0.0	-374.01801523623897
70000	-8460833.077834077	-541.8256185484314	-8460291.252215529	172.38515254803855	1852.2897108399395	1536.1396611034686	7.179189399177829	5.710319585011462	5.586246980833721	5.780307615709129	5.1232104783890815	5.07425752326539	4.86547511906836	36.0	26.743484430538935	0.16124543205777012	0.34032326996866846	0.33769241846408043	0.160738879509481	0.041005620076381026	4.2781125825351734E-5	96.76716911674896	1.6135076284987834E-6	0.6330344073226635	0.23792302364328827	-8460291.252215529	0.0	-375.21178766189155
75000	-8460828.107678823	-533.2357528860095	-8460294.871925937	151.5582261705261	1873.116637217452	1477.319562044614	9.35360378883839	5.836652678876456	6.169671265981245	6.468387218488692	6.075177150559005	5.4559873542047415	4.88258198924191	36.0	24.4053948769808	0.161259883512715	0.34032326996866846	0.33767796700913555	0.160738879509481	0.010781099107137076	4.105483241691053E-5	89.82667053194407	1.7008127861028712E-6	0.6496430712769495	0.20577950993955538	-8460294.871925937	0.0	-372.56023402382095
80000	-8460803.537898391	-525.2124023424007	-8460278.32549605	139.70498609170292	1884.9698772962752	1463.1108197682815	51.825480743182446	5.640981690287773	5.617250885106292	5.7736209971292665	5.753843690894212	5.54226723437322	5.376852241638696	36.0	26.589874868858324	0.16125736517621217	0.3403257883051713	0.33767796700913555	0.160738879509481	0.027583533375403854	4.0514717123097414E-5	90.27424842260437	1.6991786808605562E-6	0.613522832928006	0.123997903453325	-8460278.32549605	0.0	-369.11707549578637
85000	-8460782.227788681	-512.9344226041608	-8460269.293366076	114.02684179454779	1910.6480215934303	1320.2618010899769	8.622130375020065	5.797789280458101	5.774102521025675	5.54385232471601	5.32340629359722	5.168934649276702	4.972661268300968	36.0	26.127423186660707	0.16125736517621217	0.3403257883051713	0.33751257101120935	0.1609042755074072	0.026498672506839106	4.112936768007847E-5	81.4853093310563	1.8704354521559053E-6	0.6192564910660985	0.16320700799285381	-8460269.293366076	0.0	-366.0783991179739
90000	-8460777.507837186	-491.2634460947516	-8460286.244391091	100.04317379807591	1924.6316895899022	1272.1481797048273	5.7200277094133956	5.507614304418546	5.427836558356893	5.755731127923953	5.0449800605468775	5.377230980225519	4.873386067250267	36.0	25.272186295803415	0.16137307353463107	0.34014906452073956	0.33751257101120935	0.16096529093342007	0.025296392782845113	4.015199727571389E-5	78.90244705738772	1.960965039136758E-6	0.6007980033192896	0.25516048844367206	-8460286.244391091	0.0	-367.9142397433551
95000	-8460750.247531118	-469.1328962325297	-8460281.114634885	77.57841501096654	1947.0964483770115	1188.9957223336908	0.8257705224275762	4.821968622974549	5.400467574745734	6.10683157798204	5.590715159261044	5.974033700105643	4.128288174755168	36.0	27.688616422740854	0.16137307353463107	0.34014906452073956	0.33751257101120935	0.16096529093342007	0.033678929715128834	3.979963144091248E-5	71.07418835494904	2.108737501839434E-6	0.6453286485191136	0.13982721943395235	-8460281.114634885	0.0	-360.1237048746502
