# BEAST v10.5.0
# Generated Thu Oct 16 09:06:37 EEST 2025 [seed=1760594778263]
# -window -working -options
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	branchRatesHMC.rate	branchRatesHMC.scale	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
200000	-8460698.296152594	-403.1744161177699	-8460295.121736476	61.99836081130461	1962.6765025766736	967.4983326420165	138.2380641242681	25.06317257056169	0.16141206944966086	0.34021270568856077	0.33728655402110114	0.16108867084067746	0.023298267876782398	4.0107517409076596E-5	54.5612383584722	2.5861948618618147E-6	0.5484450534372997	0.1935856533651524	-8460295.121736476	0.0	-348.9646364125421
220000	-8460682.19718532	-397.03350238083374	-8460285.16368294	62.41485119884371	1962.2600121891344	919.8977307441216	139.1345687633399	25.783527577613714	0.16115511585110118	0.3402806462369102	0.3374755670713114	0.16108867084067746	0.04639610923303374	3.659716123351745E-5	47.67160613209057	2.7086195896174447E-6	0.5765775762045048	0.2779336411226945	-8460285.16368294	0.0	-344.2228225302444
240000	-8460668.486670306	-393.61056268965444	-8460274.876107616	60.31895879405187	1964.3559045939262	873.6768407118202	114.5193593578792	26.90782367402777	0.16121417240612315	0.34052737822591583	0.33741191579880236	0.16084653356915887	0.036775488867308165	3.34091199696397E-5	40.22200243531534	2.85136594216648E-6	0.6076299744047465	0.10028077828860109	-8460274.876107616	0.0	-339.07274716113494
260000	-8460673.144088324	-377.3513574045505	-8460295.79273092	55.89056650196802	1968.78429688601	804.3702701085068	109.70969230363076	25.540869073797676	0.16118623874542387	0.3403174920744189	0.33764159200315375	0.16085467717700366	0.042884395516392365	3.697930842430718E-5	39.41475742256334	3.1021697810762894E-6	0.5353360199035082	0.3007493986195619	-8460295.79273092	0.0	-332.2903932260171
280000	-8460663.669581104	-373.68758651461013	-8460289.98199459	52.63600631748719	1972.0388570704908	790.3321528049007	115.64093892773131	25.962637076455117	0.1615144738199633	0.33998673343701086	0.3377837655737217	0.16071502716930436	0.012031418121300163	3.707464766867476E-5	37.41366527702387	3.142447529571182E-6	0.5336964933627679	0.23697788089289562	-8460289.98199459	0.0	-331.5354248159177
300000	-8460685.145483417	-386.3577731716225	-8460298.787710246	51.48107906303981	1973.1937843249384	771.1890257067555	89.33211474597607	26.987398925828494	0.16118063695190055	0.34035582096663275	0.3377837655737217	0.1606797765077452	0.01208101801838895	3.614336403573031E-5	35.62125301881982	3.265766924506633E-6	0.5512542689938557	0.28141934384891	-8460298.787710246	0.0	-330.87712262845344
320000	-8460677.964744404	-393.8984725161654	-8460284.066271888	51.74845778219816	1972.92640560578	806.8734127516984	106.99636715275606	25.5684441434777	0.16138113756757863	0.34047410422927926	0.3374591180173492	0.16068564018579307	0.026301750020404097	3.323774762149487E-5	36.075171970844785	3.1265026545794194E-6	0.5719117868161372	0.15617871502892844	-8460284.066271888	0.0	-335.30662220300655
340000	-8460665.247712048	-371.3247376780889	-8460293.92297437	49.01911603989629	1975.6557473480818	782.1079077926181	131.99274422195407	25.54614423138205	0.16138113756757863	0.3399251451199594	0.338008077126669	0.16068564018579307	0.01748185067750114	3.190834930421138E-5	32.190940337212936	3.204652489686834E-6	0.5543427288765108	0.29928680032266325	-8460293.92297437	0.0	-331.9638927543408
360000	-8460679.785085328	-388.2427377007455	-8460291.542347627	49.258927205023625	1975.4159361829545	788.5018392533249	112.6879692286093	26.7053350960672	0.16145195065266138	0.3398651920936222	0.3374531283737501	0.1612297288799665	0.04266603743918908	2.9522270514295876E-5	34.43017985368196	3.1184126354022816E-6	0.5860464692420378	0.2564893639886386	-8460291.542347627	0.0	-333.0616363414675
380000	-8460663.449894251	-359.2406252127479	-8460304.20926904	46.5975771851855	1978.0772862027927	737.6293988423099	113.27560713009079	24.76793928363197	0.1610451255884517	0.34027298519922755	0.3376279607848262	0.1610539284274947	0.003448219776172142	3.285695571038185E-5	31.28874680415023	3.328570485766222E-6	0.5764075161388632	0.2670039714751056	-8460304.20926904	0.0	-327.0949326286875
